"bairro","cidade","estado"
"JARDIM CAMPINA GRANDE","CAMPINAS","SÃO PAULO"
"MANOEL JULIAO","RIO BRANCO","ACRE"
"MASCARENHAS DE MORAES","RIO BRANCO","ACRE"
"JARDIM CAMPINAS","CAMPINAS","SÃO PAULO"
"JARDIM CAMPINEIRO","CAMPINAS","SÃO PAULO"
"JARDIM CAMPO BELO","CAMPINAS","SÃO PAULO"
"JARDIM CAMPOS ELÍSEOS","CAMPINAS","SÃO PAULO"
"JARDIM CAPIVARI","CAMPINAS","SÃO PAULO"
"JARDIM CARLOS GOMES","CAMPINAS","SÃO PAULO"
"JARDIM CARLOS LOURENÇO","CAMPINAS","SÃO PAULO"
"JARDIM CENTENÁRIO","CAMPINAS","SÃO PAULO"
"JARDIM CHAPADÃO","CAMPINAS","SÃO PAULO"
"PARQUE INDUSTRIAL","PICOS","PIAUÍ"
"JARDIM NATAL","PICOS","PIAUÍ"
"PARAIBINHA","PICOS","PIAUÍ"
"BOA SORTE","PICOS","PIAUÍ"
"CATAVENTO","PICOS","PIAUÍ"
"DNER","PICOS","PIAUÍ"
"JUNCO","PICOS","PIAUÍ"
"PARQUE DE EXPOSIÇÃO","PICOS","PIAUÍ"
"CONDURO","PICOS","PIAUÍ"
"MARCOS DE SOUSA","PICOS","PIAUÍ"
"ARARA DOS PEREIRAS","BRAGANÇA PAULISTA","SÃO PAULO"
"ESPLANADA","BRASÍLIA","DISTRITO FEDERAL"
"FRECHEIRAS","TIANGUÁ","CEARÁ"
"LOTEAMENTO RESIDENCIAL SANTO ANTÔNIO II","PIRACICABA","SÃO PAULO"
"JARDIM SOL NASCENTE II","PIRACICABA","SÃO PAULO"
"RESIDENCIAL MUNDO NOVO 1","GOIÂNIA","GOIÁS"
"VILLA TOSCANA","VOTORANTIM","SÃO PAULO"
"ALPHAVILLE NOVA ESPLANADA","VOTORANTIM","SÃO PAULO"
"RESIDENCIAL CRISTAL","VOTORANTIM","SÃO PAULO"
"SERRA AZUL","TUCURUÍ","PARÁ"
"BAIRRO DAS BROTAS","ATIBAIA","SÃO PAULO"
"BEIRA RIO","TUCURUÍ","PARÁ"
"JARDIM SÃO JOSÉ","PIRACICABA","SÃO PAULO"
"JARDIM CHAPARRAL II","MOGI GUAÇU","SÃO PAULO"
"VERA CRUZ","CONTAGEM","MINAS GERAIS"
"ZONA DE EXPANSÃO (MOSQUEIRO)","ARACAJU","SERGIPE"
"ZONA DE EXPANSÃO (ROBALO)","ARACAJU","SERGIPE"
"PARQUE RURAL FAZENDA SANTA CÂNDIDA","CAMPINAS","SÃO PAULO"
"PLANTA CHAUNE","PIRAQUARA","PARANÁ"
"ARCHIMEDES NASPOLINI","CRICIÚMA","SANTA CATARINA"
"NOSSA SENHORA DA CONCEIÇÃO","SÃO JOÃO DEL REI","MINAS GERAIS"
"CIDADE MINEIRA NOVA","CRICIÚMA","SANTA CATARINA"
"CIDADE MINEIRA VELHA","CRICIÚMA","SANTA CATARINA"
"VILA SÃO TIAGO","PIRAQUARA","PARANÁ"
"VILA BAEPENDI","JARAGUÁ DO SUL","SANTA CATARINA"
"CHICO DE PAULO","JARAGUÁ DO SUL","SANTA CATARINA"
"BOM JESUS DO PARÁ","PARÁ DE MINAS","MINAS GERAIS"
"PARQUE LIMEIRA ÁREA II","TELÊMACO BORBA","PARANÁ"
"PARQUE LIMEIRA ÁREA III","TELÊMACO BORBA","PARANÁ"
"CASTRO E GAIGA","POÇOS DE CALDAS","MINAS GERAIS"
"PARQUE LIMEIRA ÁREA VI","TELÊMACO BORBA","PARANÁ"
"PARQUE LIMEIRA ÁREA VII","TELÊMACO BORBA","PARANÁ"
"PARQUE LIMEIRA ÁREA X","TELÊMACO BORBA","PARANÁ"
"PARQUE RESIDENCIAL OASIS","RONDONÓPOLIS","MATO GROSSO"
"JARDIM GUANABARA I","RONDONÓPOLIS","MATO GROSSO"
"ZONA DE EXPANSÃO (ARUANA)","ARACAJU","SERGIPE"
"ZONA DE EXPANSÃO (AREIA BRANCA)","ARACAJU","SERGIPE"
"COLINAS DE HOMERO","APARECIDA DE GOIÂNIA","GOIÁS"
"JARDIM SORRILÂNDIA I","SOUSA","PARAÍBA"
"PARQUE ITAMARATY","APARECIDA DE GOIÂNIA","GOIÁS"
"VILLA DELFIORE","APARECIDA DE GOIÂNIA","GOIÁS"
"PAULA LIMA","JUIZ DE FORA","MINAS GERAIS"
"VILA NOGUEIRA","CAMPO GRANDE","MATO GROSSO DO SUL"
"ESTELITA COELHO MARINS","CACHOEIRO DE ITAPEMIRIM","ESPÍRITO SANTO"
"PARQUE INDUSTRIAL TORIBA","MATÃO","SÃO PAULO"
"VILA KLÉRIA","GOIANIRA","GOIÁS"
"JARDIM DAS ROSAS","MARÍLIA","SÃO PAULO"
"LOTEAMENTO RESIDENCIAL JARDIM DOS IPÊS AMARELOS","AMERICANA","SÃO PAULO"
"COHABS","IGUATU","CEARÁ"
"ELDORADO PROLONGAMENTO","RIO VERDE","GOIÁS"
