"bairro","cidade","estado"
"PARQUE CRUZEIRO DO SUL (VILA FORMOSA)","SÃO PAULO","SÃO PAULO"
"PARQUE DA LAPA","SÃO PAULO","SÃO PAULO"
"PARQUE DA MOOCA","SÃO PAULO","SÃO PAULO"
"PARQUE DA VILA PRUDENTE","SÃO PAULO","SÃO PAULO"
"PARQUE DAS ÁRVORES","SÃO PAULO","SÃO PAULO"
"PARQUE DAS CEREJEIRAS","SÃO PAULO","SÃO PAULO"
"PARQUE DAS FLORES","SÃO PAULO","SÃO PAULO"
"PARQUE DAS PAINEIRAS","SÃO PAULO","SÃO PAULO"
"PARQUE DEIZY","SÃO PAULO","SÃO PAULO"
"PARQUE DO CARMO","SÃO PAULO","SÃO PAULO"
"PARQUE DO CASTELO","SÃO PAULO","SÃO PAULO"
"PARQUE DO ENGENHO","SÃO PAULO","SÃO PAULO"
"PARQUE DO ESTADO","SÃO PAULO","SÃO PAULO"
"PARQUE DO LAGO","SÃO PAULO","SÃO PAULO"
"PARQUE DO MORUMBI","SÃO PAULO","SÃO PAULO"
"PARQUE DO OTERO","SÃO PAULO","SÃO PAULO"
"PARQUE DO TERCEIRO LAGO","SÃO PAULO","SÃO PAULO"
"PARQUE DOROTEIA","SÃO PAULO","SÃO PAULO"
"PARQUE DOS BANCÁRIOS","SÃO PAULO","SÃO PAULO"
"PARQUE DOS PRÍNCIPES","SÃO PAULO","SÃO PAULO"
"PARQUE EDU CHAVES","SÃO PAULO","SÃO PAULO"
"PARQUE ESMERALDA","SÃO PAULO","SÃO PAULO"
"PARQUE ESPERANÇA","SÃO PAULO","SÃO PAULO"
"PARQUE FERNANDA","SÃO PAULO","SÃO PAULO"
"PARQUE FLAMENGO","SÃO PAULO","SÃO PAULO"
"PARQUE FLORESTAL","SÃO PAULO","SÃO PAULO"
"PARQUE FONGARO","SÃO PAULO","SÃO PAULO"
"PARQUE GRAJAÚ","SÃO PAULO","SÃO PAULO"
"PARQUE GUAIANAZES","SÃO PAULO","SÃO PAULO"
"PARQUE GUARANI","SÃO PAULO","SÃO PAULO"
"PARQUE IBIRAPUERA","SÃO PAULO","SÃO PAULO"
"PARQUE IMPERIAL","SÃO PAULO","SÃO PAULO"
"PARQUE INDEPENDÊNCIA","SÃO PAULO","SÃO PAULO"
"PARQUE INDUSTRIAL","SÃO PAULO","SÃO PAULO"
"PARQUE INDUSTRIAL TOMAS EDSON","SÃO PAULO","SÃO PAULO"
"PARQUE IPÊ","SÃO PAULO","SÃO PAULO"
"PARQUE ITABERABA","SÃO PAULO","SÃO PAULO"
"PARQUE JABAQUARA","SÃO PAULO","SÃO PAULO"
"PARQUE JARDIM MIRASSOL","SÃO PAULO","SÃO PAULO"
"PARQUE LAGOA RICA","SÃO PAULO","SÃO PAULO"
"PARQUE LAGOINHA","SÃO PAULO","SÃO PAULO"
"PARQUE LIGIA","SÃO PAULO","SÃO PAULO"
"PARQUE LUIS MUCCIOLO","SÃO PAULO","SÃO PAULO"
"PARQUE MALAGOLI","SÃO PAULO","SÃO PAULO"
"PARQUE MANDAQUI","SÃO PAULO","SÃO PAULO"
"PARQUE MANDI","SÃO PAULO","SÃO PAULO"
"PARQUE MARIA ALICE","SÃO PAULO","SÃO PAULO"
"PARQUE MARIA DOMITILA","SÃO PAULO","SÃO PAULO"
"PARQUE MARIA FERNANDES","SÃO PAULO","SÃO PAULO"
"PARQUE MARIA HELENA","SÃO PAULO","SÃO PAULO"
"PARQUE MARIA LUIZA","SÃO PAULO","SÃO PAULO"
"PARQUE MONTEIRO SOARES","SÃO PAULO","SÃO PAULO"
"PARQUE MORRO DOCE","SÃO PAULO","SÃO PAULO"
"PARQUE MUCIOLO","SÃO PAULO","SÃO PAULO"
"PARQUE MUNHOZ","SÃO PAULO","SÃO PAULO"
"PARQUE NAÇÕES UNIDAS","SÃO PAULO","SÃO PAULO"
"PARQUE NOVO GRAJAÚ","SÃO PAULO","SÃO PAULO"
"PARQUE NOVO LAR","SÃO PAULO","SÃO PAULO"
"PARQUE NOVO MUNDO","SÃO PAULO","SÃO PAULO"
"PARQUE NOVO SANTO AMARO","SÃO PAULO","SÃO PAULO"
"PARQUE PAINEIRAS","SÃO PAULO","SÃO PAULO"
"PARQUE PAIOLZINHO","SÃO PAULO","SÃO PAULO"
"PARQUE PALMAS DO TREMEMBÉ","SÃO PAULO","SÃO PAULO"
"PARQUE PANAMERICANO","SÃO PAULO","SÃO PAULO"
"PARQUE PAULISTANO","SÃO PAULO","SÃO PAULO"
"PARQUE PENHA","SÃO PAULO","SÃO PAULO"
"PARQUE PEREIRA","SÃO PAULO","SÃO PAULO"
"PARQUE PERUCHE","SÃO PAULO","SÃO PAULO"
"PARQUE PETRÓPOLIS","SÃO PAULO","SÃO PAULO"
"PARQUE PLANALTO","SÃO PAULO","SÃO PAULO"
"PARQUE PRIMAVERA","SÃO PAULO","SÃO PAULO"
"PARQUE RAMOS FREITAS","SÃO PAULO","SÃO PAULO"
"PARQUE REBOUCAS","SÃO PAULO","SÃO PAULO"
"PARQUE RECREIO","SÃO PAULO","SÃO PAULO"
"PARQUE REGINA","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL COCAIA","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL DA LAPA","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL D'ABRIL","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL DOS LAGOS","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL JULIA","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL ORATORIO","SÃO PAULO","SÃO PAULO"
"PARQUE RESIDENCIAL RIO BONITO","SÃO PAULO","SÃO PAULO"
"PARQUE RODRIGUES ALVES","SÃO PAULO","SÃO PAULO"
"PARQUE SABARA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTA AMÉLIA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTA BÁRBARA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTA CECÍLIA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTA CECÍLIA (GRAJAÚ)","SÃO PAULO","SÃO PAULO"
"PARQUE SANTA MADALENA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTA RITA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTANA","SÃO PAULO","SÃO PAULO"
"PARQUE SANTO AMARO","SÃO PAULO","SÃO PAULO"
"PARQUE SANTO ANTÔNIO","SÃO PAULO","SÃO PAULO"
"PARQUE SANTO ANTÔNIO (ARICANDUVA)","SÃO PAULO","SÃO PAULO"
"PARQUE SANTO EDUARDO","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO DOMINGOS","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO JOAQUIM","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO JORGE","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO JOSÉ","SÃO PAULO","SÃO PAULO"
"CHACARA DA PRAINHA","AQUIRAZ","CEARÁ"
"PARQUE SÃO LOURENÇO","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO LUCAS","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO LUÍS","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO MIGUEL","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO PAULO","SÃO PAULO","SÃO PAULO"
"PARQUE SÃO RAFAEL","SÃO PAULO","SÃO PAULO"
"PARQUE SAVOY CITY","SÃO PAULO","SÃO PAULO"
"PARQUE SEVILHA","SÃO PAULO","SÃO PAULO"
"PARQUE SONIA","SÃO PAULO","SÃO PAULO"
"PARQUE TAIPAS","SÃO PAULO","SÃO PAULO"
"PARQUE TAMARI","SÃO PAULO","SÃO PAULO"
"PARQUE TIETÊ","SÃO PAULO","SÃO PAULO"
"PARQUE TOMAS SARAIVA","SÃO PAULO","SÃO PAULO"
"PARQUE UNIVERSITÁRIO ESPÍRITA","SÃO PAULO","SÃO PAULO"
"PARQUE VELOSO","SÃO PAULO","SÃO PAULO"
"PARQUE VEREDAS","SÃO PAULO","SÃO PAULO"
"PARQUE VILA MARIA","SÃO PAULO","SÃO PAULO"
"PARQUE VILA PRUDENTE","SÃO PAULO","SÃO PAULO"
"PARQUE VITÓRIA","SÃO PAULO","SÃO PAULO"
"PENHA DE FRANÇA","SÃO PAULO","SÃO PAULO"
"PERDIZES","SÃO PAULO","SÃO PAULO"
"PERUS","SÃO PAULO","SÃO PAULO"
"PINHEIROS","SÃO PAULO","SÃO PAULO"
"PIQUERI","SÃO PAULO","SÃO PAULO"
"PIRAJUSSARA","SÃO PAULO","SÃO PAULO"
"PIRAPORINHA","SÃO PAULO","SÃO PAULO"
"PIRITUBA","SÃO PAULO","SÃO PAULO"
"PLANALTO PAULISTA","SÃO PAULO","SÃO PAULO"
"POLVILHO","SÃO PAULO","SÃO PAULO"
"PONTE PEQUENA","SÃO PAULO","SÃO PAULO"
"PONTE RASA","SÃO PAULO","SÃO PAULO"
"PRAIA AZUL","SÃO PAULO","SÃO PAULO"
"PRAIA DA LAGOA","SÃO PAULO","SÃO PAULO"
"PRAIA DO LEBLON","SÃO PAULO","SÃO PAULO"
"PRAIA PAULISTINHA","SÃO PAULO","SÃO PAULO"
"PRAIAS PAULISTANAS","SÃO PAULO","SÃO PAULO"
"PROMORAR VILA MARIA","SÃO PAULO","SÃO PAULO"
"PROTENDIT","SÃO PAULO","SÃO PAULO"
"QUARTA PARADA","SÃO PAULO","SÃO PAULO"
"QUINTA DA PAINEIRA","SÃO PAULO","SÃO PAULO"
"RANCHO GERALDO","SÃO PAULO","SÃO PAULO"
"RAPOSO TAVARES","SÃO PAULO","SÃO PAULO"
"REAL PARQUE","SÃO PAULO","SÃO PAULO"
"RECANTO ALEGRE","SÃO PAULO","SÃO PAULO"
"RECANTO ANA MARIA","SÃO PAULO","SÃO PAULO"
"RECANTO CAMPO BELO","SÃO PAULO","SÃO PAULO"
"RECANTO DAS ANDORINHAS","SÃO PAULO","SÃO PAULO"
"RECANTO DOS SONHOS","SÃO PAULO","SÃO PAULO"
"RECANTO FREI DAMIÃO","SÃO PAULO","SÃO PAULO"
"RECANTO MARISA","SÃO PAULO","SÃO PAULO"
"RECANTO MONTE ALEGRE","SÃO PAULO","SÃO PAULO"
"RECANTO PARAÍSO","SÃO PAULO","SÃO PAULO"
"RECANTO SANTO ANTÔNIO","SÃO PAULO","SÃO PAULO"
"RECANTO VERDE DO SOL","SÃO PAULO","SÃO PAULO"
"REPÚBLICA","SÃO PAULO","SÃO PAULO"
"RESIDENCIAL MORUMBI","SÃO PAULO","SÃO PAULO"
"RESIDENCIAL SOL NASCENTE","SÃO PAULO","SÃO PAULO"
"RESIDENCIAL TAIPAS","SÃO PAULO","SÃO PAULO"
"RESIDENCIAL VILELA","SÃO PAULO","SÃO PAULO"
"RETIRO MORUMBI","SÃO PAULO","SÃO PAULO"
"RIO BONITO","SÃO PAULO","SÃO PAULO"
"RIO PEQUENO","SÃO PAULO","SÃO PAULO"
"RIVIERA PAULISTA","SÃO PAULO","SÃO PAULO"
"ROLINÓPOLIS","SÃO PAULO","SÃO PAULO"
"SACOMÃ","SÃO PAULO","SÃO PAULO"
"SANTA AMÉLIA","SÃO PAULO","SÃO PAULO"
"SANTA CECÍLIA","SÃO PAULO","SÃO PAULO"
"SANTA EFIGÊNIA","SÃO PAULO","SÃO PAULO"
"SANTA ETELVINA","SÃO PAULO","SÃO PAULO"
"SANTA INÊS","SÃO PAULO","SÃO PAULO"
"SANTA MARIA","SÃO PAULO","SÃO PAULO"
"SANTA TERESINHA","SÃO PAULO","SÃO PAULO"
"SANTANA","SÃO PAULO","SÃO PAULO"
"SANTO AMARO","SÃO PAULO","SÃO PAULO"
"SÃO DOMINGOS","SÃO PAULO","SÃO PAULO"
"SÃO JOÃO CLÍMACO","SÃO PAULO","SÃO PAULO"
"SÃO JUDAS","SÃO PAULO","SÃO PAULO"
"SÃO LUCAS","SÃO PAULO","SÃO PAULO"
"SÃO MATEUS","SÃO PAULO","SÃO PAULO"
"SÃO MIGUEL PAULISTA","SÃO PAULO","SÃO PAULO"
"SÃO SALVADOR","SÃO PAULO","SÃO PAULO"
"SAPOPEMBA","SÃO PAULO","SÃO PAULO"
"SAÚDE","SÃO PAULO","SÃO PAULO"
"SÉ","SÃO PAULO","SÃO PAULO"
"SETE PRAIAS","SÃO PAULO","SÃO PAULO"
"SICILIANO","SÃO PAULO","SÃO PAULO"
"SÍTIO AREIÃO","SÃO PAULO","SÃO PAULO"
"SÍTIO BARROCADA","SÃO PAULO","SÃO PAULO"
"SITIO BOA VISTA","SÃO PAULO","SÃO PAULO"
"SÍTIO BOTUQUARA","SÃO PAULO","SÃO PAULO"
"SÍTIO BÚFALO","SÃO PAULO","SÃO PAULO"
"SÍTIO CANELA BRANCA","SÃO PAULO","SÃO PAULO"
"SÍTIO CARAGUATA","SÃO PAULO","SÃO PAULO"
"SÍTIO COCAIA","SÃO PAULO","SÃO PAULO"
"SÍTIO DA BARRA","SÃO PAULO","SÃO PAULO"
"SÍTIO DA FIGUEIRA","SÃO PAULO","SÃO PAULO"
"SÍTIO DO MANDAQUI","SÃO PAULO","SÃO PAULO"
"SÍTIO DO MORRO","SÃO PAULO","SÃO PAULO"
"SÍTIO DO PIQUERI","SÃO PAULO","SÃO PAULO"
"SÍTIO ITABERABA I","SÃO PAULO","SÃO PAULO"
"SÍTIO ITABERABA II","SÃO PAULO","SÃO PAULO"
"SÍTIO LAREDO","SÃO PAULO","SÃO PAULO"
"SÍTIO MATSUMURA","SÃO PAULO","SÃO PAULO"
"SÍTIO MORRO GRANDE","SÃO PAULO","SÃO PAULO"
"SÍTIO PINHEIRINHO","SÃO PAULO","SÃO PAULO"
"SITIO PONDEROSA","SÃO PAULO","SÃO PAULO"
"SÍTIO REPRESA","SÃO PAULO","SÃO PAULO"
"SITIO TAPERA","SÃO PAULO","SÃO PAULO"
"SÍTIO VALE VERDE","SÃO PAULO","SÃO PAULO"
"SOCORRO","SÃO PAULO","SÃO PAULO"
"SUMARÉ","SÃO PAULO","SÃO PAULO"
"SUMAREZINHO","SÃO PAULO","SÃO PAULO"
"SUPER QUADRA MORUMBI","SÃO PAULO","SÃO PAULO"
"TAIPAS","SÃO PAULO","SÃO PAULO"
"TATUAPÉ","SÃO PAULO","SÃO PAULO"
"TERCEIRA DIVISÃO","SÃO PAULO","SÃO PAULO"
"TERCEIRA DIVISÃO DE INTERLAGOS","SÃO PAULO","SÃO PAULO"
"TREMEMBÉ","SÃO PAULO","SÃO PAULO"
"TRÊS CRUZES","SÃO PAULO","SÃO PAULO"
"TUCURUVI","SÃO PAULO","SÃO PAULO"
"TUPARACOERA","SÃO PAULO","SÃO PAULO"
"UMARIZAL","SÃO PAULO","SÃO PAULO"
"UNIÃO DE VILA NOVA","SÃO PAULO","SÃO PAULO"
"USINA PIRATININGA","SÃO PAULO","SÃO PAULO"
"VALO VELHO","SÃO PAULO","SÃO PAULO"
"VÁRZEA DA BARRA FUNDA","SÃO PAULO","SÃO PAULO"
"VÁRZEA DE BAIXO","SÃO PAULO","SÃO PAULO"
"VELEIROS","SÃO PAULO","SÃO PAULO"
"VILA ABC","SÃO PAULO","SÃO PAULO"
"VILA ACRE","SÃO PAULO","SÃO PAULO"
"VILA ADALGISA","SÃO PAULO","SÃO PAULO"
"VILA ADEMAR","SÃO PAULO","SÃO PAULO"
"VILA ÁGUA FUNDA","SÃO PAULO","SÃO PAULO"
"VILA AGUEDA","SÃO PAULO","SÃO PAULO"
"VILA AIMORÉ","SÃO PAULO","SÃO PAULO"
"VILA ALABAMA","SÃO PAULO","SÃO PAULO"
"VILA ALBA","SÃO PAULO","SÃO PAULO"
"VILA ALBANO","SÃO PAULO","SÃO PAULO"
"VILA ALBERTINA","SÃO PAULO","SÃO PAULO"
"VILA ALEXANDRIA","SÃO PAULO","SÃO PAULO"
"VILA ALMEIDA","SÃO PAULO","SÃO PAULO"
"VILA ALPINA","SÃO PAULO","SÃO PAULO"
"VILA ALTEZA","SÃO PAULO","SÃO PAULO"
"VILA ALZIRA","SÃO PAULO","SÃO PAULO"
"VILA AMÁLIA (ZONA LESTE)","SÃO PAULO","SÃO PAULO"
"VILA AMÁLIA (ZONA NORTE)","SÃO PAULO","SÃO PAULO"
"VILA AMÉLIA","SÃO PAULO","SÃO PAULO"
"VILA AMÉRICA","SÃO PAULO","SÃO PAULO"
"VILA AMERICANA","SÃO PAULO","SÃO PAULO"
"VILA ANA CLÁUDIA","SÃO PAULO","SÃO PAULO"
"VILA ANA ROSA","SÃO PAULO","SÃO PAULO"
"VILA ANADIR","SÃO PAULO","SÃO PAULO"
"VILA ANALIA","SÃO PAULO","SÃO PAULO"
"VILA ANASTÁCIO","SÃO PAULO","SÃO PAULO"
"VILA ANDES","SÃO PAULO","SÃO PAULO"
"VILA ANDRADE","SÃO PAULO","SÃO PAULO"
"VILA ANGÉLICA","SÃO PAULO","SÃO PAULO"
"VILA ANGELINA","SÃO PAULO","SÃO PAULO"
"VILA ANGLO BRASILEIRA","SÃO PAULO","SÃO PAULO"
"VILA ANHANGÜERA","SÃO PAULO","SÃO PAULO"
"VILA ANTONIETA","SÃO PAULO","SÃO PAULO"
"VILA ANTONINA","SÃO PAULO","SÃO PAULO"
"VILA ANTÔNIO","SÃO PAULO","SÃO PAULO"
"VILA ANTÔNIO DOS SANTOS","SÃO PAULO","SÃO PAULO"
"VILA APARECIDA","SÃO PAULO","SÃO PAULO"
"VILA APARECIDA IVONE","SÃO PAULO","SÃO PAULO"
"VILA APOENA","SÃO PAULO","SÃO PAULO"
"VILA ARAGUAIA","SÃO PAULO","SÃO PAULO"
"VILA ARAPUÃ","SÃO PAULO","SÃO PAULO"
"VILA ARCÁDIA","SÃO PAULO","SÃO PAULO"
"VILA ARCO ÍRIS","SÃO PAULO","SÃO PAULO"
"VILA ARICANDUVA","SÃO PAULO","SÃO PAULO"
"VILA ARRIETE","SÃO PAULO","SÃO PAULO"
"VILA ARRUDA","SÃO PAULO","SÃO PAULO"
"VILA AUGUSTO","SÃO PAULO","SÃO PAULO"
"VILA AUREA","SÃO PAULO","SÃO PAULO"
"VILA AURORA","SÃO PAULO","SÃO PAULO"
"VILA AURORA (ZONA NORTE)","SÃO PAULO","SÃO PAULO"
"VILA AYROSA","SÃO PAULO","SÃO PAULO"
"VILA AZEVEDO","SÃO PAULO","SÃO PAULO"
"VILA BABILÔNIA","SÃO PAULO","SÃO PAULO"
"VILA BABY","SÃO PAULO","SÃO PAULO"
"VILA BANCÁRIA","SÃO PAULO","SÃO PAULO"
"VILA BANCÁRIA MUNHOZ","SÃO PAULO","SÃO PAULO"
"VILA BANDEIRANTES","SÃO PAULO","SÃO PAULO"
"VILA BARBOSA","SÃO PAULO","SÃO PAULO"
"VILA BARRETO","SÃO PAULO","SÃO PAULO"
"VILA BARUEL","SÃO PAULO","SÃO PAULO"
"VILA BASILEIA","SÃO PAULO","SÃO PAULO"
"VILA BAUAB","SÃO PAULO","SÃO PAULO"
"VILA BEATRIZ","SÃO PAULO","SÃO PAULO"
"VILA BELA","SÃO PAULO","SÃO PAULO"
"VILA BELA ALIANÇA","SÃO PAULO","SÃO PAULO"
"VILA BELA DO SAPOPEMBA","SÃO PAULO","SÃO PAULO"
"VILA BELA VISTA (ZONA NORTE)","SÃO PAULO","SÃO PAULO"
"VILA BELA VISTA (ZONA SUL)","SÃO PAULO","SÃO PAULO"
"ZONA RURAL","SALITRE","CEARÁ"
"VILA BELO HORIZONTE","SÃO PAULO","SÃO PAULO"
"VILA BERTIOGA","SÃO PAULO","SÃO PAULO"
"VILA BIANCA","SÃO PAULO","SÃO PAULO"
"VILA BOAÇAVA","SÃO PAULO","SÃO PAULO"
"VILA BOM JARDIM","SÃO PAULO","SÃO PAULO"
"VILA BONILHA","SÃO PAULO","SÃO PAULO"
"VILA BONILHA NOVA","SÃO PAULO","SÃO PAULO"
"VILA BORGES","SÃO PAULO","SÃO PAULO"
"VILA BOTONI","SÃO PAULO","SÃO PAULO"
"VILA BOZZINI","SÃO PAULO","SÃO PAULO"
"VILA BRASIL","SÃO PAULO","SÃO PAULO"
"VILA BRASILÂNDIA","SÃO PAULO","SÃO PAULO"
"VILA BRASÍLIA (ZONA SUL)","SÃO PAULO","SÃO PAULO"
"VILA BRASILINA","SÃO PAULO","SÃO PAULO"
"VILA BRASÍLIO MACHADO","SÃO PAULO","SÃO PAULO"
"VILA BRUNA","SÃO PAULO","SÃO PAULO"
"VILA BUARQUE","SÃO PAULO","SÃO PAULO"
"VILA BUENOS AIRES","SÃO PAULO","SÃO PAULO"
"VILA BUTANTÃ","SÃO PAULO","SÃO PAULO"
"VILA CACHOEIRA","SÃO PAULO","SÃO PAULO"
"VILA CACHOEIRINHA","SÃO PAULO","SÃO PAULO"
"VILA CAIÇARA","SÃO PAULO","SÃO PAULO"
"VILA CAIÚBA","SÃO PAULO","SÃO PAULO"
"VILA CAJU","SÃO PAULO","SÃO PAULO"
"VILA CALIFÓRNIA","SÃO PAULO","SÃO PAULO"
"VILA CALIFÓRNIA(ZONA SUL)","SÃO PAULO","SÃO PAULO"
"VILA CALU","SÃO PAULO","SÃO PAULO"
"VILA CAMPANELA","SÃO PAULO","SÃO PAULO"
"VILA CAMPESTRE","SÃO PAULO","SÃO PAULO"
"VILA CAMPO GRANDE","SÃO PAULO","SÃO PAULO"
"VILA CANERO","SÃO PAULO","SÃO PAULO"
"VILA CAPELA","SÃO PAULO","SÃO PAULO"
"VILA CARAGUATÁ","SÃO PAULO","SÃO PAULO"
"VILA CARBONE","SÃO PAULO","SÃO PAULO"
"VILA CARDOSO","SÃO PAULO","SÃO PAULO"
"VILA CARDOSO FRANCO","SÃO PAULO","SÃO PAULO"
"VILA CARIOCA","SÃO PAULO","SÃO PAULO"
"VILA CARLOS DE CAMPOS","SÃO PAULO","SÃO PAULO"
"VILA CARMEM","SÃO PAULO","SÃO PAULO"
"VILA CARMOSINA","SÃO PAULO","SÃO PAULO"
"VILA CAROLINA","SÃO PAULO","SÃO PAULO"
"VILA CARRÃO","SÃO PAULO","SÃO PAULO"
"VILA CASTELO","SÃO PAULO","SÃO PAULO"
"VILA CASTRO","SÃO PAULO","SÃO PAULO"
"VILA CATUPIA","SÃO PAULO","SÃO PAULO"
"VILA CAVATON","SÃO PAULO","SÃO PAULO"
"VILA CAXAMBU","SÃO PAULO","SÃO PAULO"
"VILA CELESTE","SÃO PAULO","SÃO PAULO"
"VILA CENTENÁRIO","SÃO PAULO","SÃO PAULO"
"VILA CENTRAL","SÃO PAULO","SÃO PAULO"
"VILA CHABILÂNDIA","SÃO PAULO","SÃO PAULO"
"VILA CHALOT","SÃO PAULO","SÃO PAULO"
"VILA CHARLOTE","SÃO PAULO","SÃO PAULO"
"VILA CHAVANTES","SÃO PAULO","SÃO PAULO"
"VILA CHICA LUISA","SÃO PAULO","SÃO PAULO"
"VILA CHUCA","SÃO PAULO","SÃO PAULO"
"VILA CISPER","SÃO PAULO","SÃO PAULO"
"VILA CLARA","SÃO PAULO","SÃO PAULO"
"VILA CLARICE","SÃO PAULO","SÃO PAULO"
"VILA CLÁUDIA","SÃO PAULO","SÃO PAULO"
"VILA CLÉLIA","SÃO PAULO","SÃO PAULO"
"VILA CLEMENTINO","SÃO PAULO","SÃO PAULO"
"VILA CLEONICE","SÃO PAULO","SÃO PAULO"
"VILA COMERCIAL","SÃO PAULO","SÃO PAULO"
"VILA CONCEIÇÃO","SÃO PAULO","SÃO PAULO"
"VILA CONDE DO PINHAL","SÃO PAULO","SÃO PAULO"
"VILA CONGONHAS","SÃO PAULO","SÃO PAULO"
"VILA CONSTANÇA","SÃO PAULO","SÃO PAULO"
"VILA CONTINENTAL","SÃO PAULO","SÃO PAULO"
"VILA CORBERI","SÃO PAULO","SÃO PAULO"
"VILA CORDEIRO","SÃO PAULO","SÃO PAULO"
"VILA COSMOPOLITA","SÃO PAULO","SÃO PAULO"
"VILA COSTA MELO","SÃO PAULO","SÃO PAULO"
"VILA CRISTÁLIA","SÃO PAULO","SÃO PAULO"
"VILA CRUZ DAS ALMAS","SÃO PAULO","SÃO PAULO"
"VILA CRUZEIRO","SÃO PAULO","SÃO PAULO"
"VILA CRUZEIRO NOVO","SÃO PAULO","SÃO PAULO"
"VILA CUNHA BUENO","SÃO PAULO","SÃO PAULO"
"VILA CURUÇÁ","SÃO PAULO","SÃO PAULO"
"VILA DA PAZ","SÃO PAULO","SÃO PAULO"
"VILA DA SAÚDE","SÃO PAULO","SÃO PAULO"
"VILA DALILA","SÃO PAULO","SÃO PAULO"
"VILA DALVA","SÃO PAULO","SÃO PAULO"
"VILA DAMACENO","SÃO PAULO","SÃO PAULO"
"VILA DANUBIO AZUL","SÃO PAULO","SÃO PAULO"
"VILA DARLI","SÃO PAULO","SÃO PAULO"
"VILA DAS BELEZAS","SÃO PAULO","SÃO PAULO"
"VILA DAS MERCÊS","SÃO PAULO","SÃO PAULO"
"VILA DEODORO","SÃO PAULO","SÃO PAULO"
"VILA DINORAH","SÃO PAULO","SÃO PAULO"
"VILA DIONISIA","SÃO PAULO","SÃO PAULO"
"VILA DIVA (ZONA LESTE)","SÃO PAULO","SÃO PAULO"
"VILA DIVA (ZONA NORTE)","SÃO PAULO","SÃO PAULO"
"VILA DIVINA PASTORA","SÃO PAULO","SÃO PAULO"
"VILA DO BOSQUE","SÃO PAULO","SÃO PAULO"
"VILA DO CASTELO","SÃO PAULO","SÃO PAULO"
"VILA DO ENCONTRO","SÃO PAULO","SÃO PAULO"
"VILA DO SOL","SÃO PAULO","SÃO PAULO"
"VILA DOM JOSÉ","SÃO PAULO","SÃO PAULO"
"VILA DOM PEDRO I","SÃO PAULO","SÃO PAULO"
"VILA DOM PEDRO II","SÃO PAULO","SÃO PAULO"
"VILA DOMITILA","SÃO PAULO","SÃO PAULO"
"VILA DONA AUGUSTA","SÃO PAULO","SÃO PAULO"
"VILA DONA META","SÃO PAULO","SÃO PAULO"
"VILA DONA SARA","SÃO PAULO","SÃO PAULO"
"VILA DORNA","SÃO PAULO","SÃO PAULO"
"VILA DOS ANDRADAS","SÃO PAULO","SÃO PAULO"
"VILA DOS ANDRADES","SÃO PAULO","SÃO PAULO"
"VILA DOS MINÉRIOS","SÃO PAULO","SÃO PAULO"
"VILA DOS PALMARES","SÃO PAULO","SÃO PAULO"
"VILA DOS REMÉDIOS","SÃO PAULO","SÃO PAULO"
"VILA DOUTOR EIRAS","SÃO PAULO","SÃO PAULO"
"VILA DUARTE","SÃO PAULO","SÃO PAULO"
"VILA EDE","SÃO PAULO","SÃO PAULO"
"VILA ELBA","SÃO PAULO","SÃO PAULO"
"VILA ELIANA","SÃO PAULO","SÃO PAULO"
"VILA SIMONE","SÃO PAULO","SÃO PAULO"
"VILA ELIAS NIGRI","SÃO PAULO","SÃO PAULO"
"VILA ELIDA","SÃO PAULO","SÃO PAULO"
"VILA ELIETE","SÃO PAULO","SÃO PAULO"
"VILA ELISIO","SÃO PAULO","SÃO PAULO"
"VILA ELVIRA","SÃO PAULO","SÃO PAULO"
"VILA ELZE","SÃO PAULO","SÃO PAULO"
"VILA EMA","SÃO PAULO","SÃO PAULO"
"VILA EMIR","SÃO PAULO","SÃO PAULO"
"VILA ERNA","SÃO PAULO","SÃO PAULO"
"VILA ERNESTO","SÃO PAULO","SÃO PAULO"
"VILA ESCOLAR","SÃO PAULO","SÃO PAULO"
"VILA ESMERALDA","SÃO PAULO","SÃO PAULO"
"VILA ESPANHOLA","SÃO PAULO","SÃO PAULO"
"VILA ESPERANÇA","SÃO PAULO","SÃO PAULO"
"VILA ESTER","SÃO PAULO","SÃO PAULO"
